company_name,year,sales,profit,rprofit,totalassets,totalliabilities,sequity,mnc,psic_5,exporter,nationality,bind,aki_16,
Adidas Philippines Inc.,2020,4.85,0.02,0.43,4.55,3.92,0.63,1,47631,0,German,SERV,TRD,
Adidas Philippines Inc.,2021,4.96,0.02,0.46,3.14,2.48,0.34,1,47631,0,German,SERV,TRD,
Adtel Inc.,2019,2.00,0.06,2.91,0.82,0.54,0.27,0,46526,0,Filipino,SERV,TRD,
Advent Energy Inc.,2018,11.20,0.55,4.89,3.25,2.36,0.88,0,35100,0,Filipino,SERV,EWS,
Advent Energy Inc.,2019,8.47,0.00,0.01,2.30,1.63,0.67,0,35100,0,Filipino,SERV,EWS,
Advent Energy Inc.,2020,5.04,0.20,3.89,2.42,1.56,0.86,0,35100,0,Filipino,SERV,EWS,
Advent Energy Inc.,2021,7.33,0.09,1.20,3.17,2.41,0.76,0,35102,0,Filipino,SERV,EWS,
Afni Philippines Inc.,2020,3.42,0.16,4.70,1.22,0.70,0.51,1,82211,1,American,SERV,PRO,
Agata Mining Ventures Inc.,2020,3.57,0.27,7.65,2.62,2.22,0.40,0,7294,1,Filipino,MAQ,MAQ,
Agata Mining Ventures Inc.,2021,4.48,0.51,11.47,4.16,3.54,0.40,0,9101,1,Filipino,MAQ,MAQ,
AgriNurture Inc.,2020,1.90,0.00,0.16,3.57,0.89,2.69,0,1211,1,Filipino,AFF,AFF,
Agway Chemicals Corporation,2018,2.51,0.02,0.60,0.65,0.47,0.18,0,46692,0,Filipino,SERV,TRD,
Agway Chemicals Corporation,2019,2.40,0.01,0.54,0.43,0.24,0.19,0,46692,0,Filipino,SERV,TRD,
Agway Chemicals Corporation,2020,2.18,0.01,0.64,0.44,0.23,0.21,0,46692,0,Filipino,SERV,TRD,
AIA Philippines Life and General Insurance Co. Inc.,2021,35.80,12.68,35.41,276.73,204.52,61.29,1,65120,0,HK-Chinese,SERV,FIA,
AIG Shared Services - Business Processing Inc.,2018,3.39,0.27,8.04,1.18,0.30,0.88,1,82229,1,American,SERV,PRO,
AIG Shared Services - Business Processing Inc.,2019,2.91,0.09,2.95,1.67,0.78,0.89,1,82229,1,American,SERV,PRO,
AIG Shared Services - Business Processing Inc.,2020,2.97,0.31,10.51,2.56,1.50,1.06,1,82229,1,American,SERV,PRO,
AIG Shared Services Corporation (Philippines),2018,2.84,0.33,11.48,1.47,0.51,0.96,1,82229,1,American,SERV,PRO,
AIG Shared Services Corporation (Philippines),2019,2.25,0.06,2.84,1.63,0.63,1.00,1,82229,1,American,SERV,PRO,
AIG Shared Services Corporation (Philippines),2020,2.96,0.64,21.69,1.78,0.49,1.29,1,82229,1,American,SERV,PRO,
Air Liquide Philippines Inc.,2019,1.90,0.54,28.11,3.75,1.53,2.22,1,20112,0,French,MFG,MFG,
Air Liquide Pipeline Utilities Services ALPLUS Inc.,2019,2.13,0.30,13.96,3.96,3.20,0.76,1,20112,0,French,MFG,MFG,
Air Liquide Pipeline Utilities Services ALPLUS Inc.,2020,1.86,0.13,7.16,3.61,3.36,0.25,1,20112,0,French,MFG,MFG,
Air Philippines Corporation,2018,11.01,0.55,5.00,3.93,2.68,1.25,0,51102,0,Filipino,SERV,TAS,
Air Philippines Corporation,2019,9.63,0.11,1.12,20.62,19.20,1.42,0,51102,0,Filipino,SERV,TAS,
Air Philippines Corporation,2020,6.76,0.05,0.73,17.26,15.82,1.44,0,51102,0,Filipino,SERV,TAS,
Air Philippines Corporation,2021,6.52,0.07,1.04,10.24,8.68,0.23,0,52109,0,Filipino,SERV,TAS,
Ajinomoto Philippines Corporation,2018,8.08,0.93,11.45,4.61,1.05,3.56,1,10796,0,Japanese,MFG,MFG,
Ajinomoto Philippines Corporation,2019,8.82,1.09,12.33,5.04,1.38,3.66,1,10796,0,Japanese,MFG,MFG,
Ajinomoto Philippines Corporation,2021,9.82,1.54,15.63,5.43,1.59,2.93,1,10799,0,Japanese,MFG,MFG,
Alaska Milk Corporation,2018,19.75,0.67,3.38,28.81,18.90,9.92,1,10520,0,Dutch,MFG,MFG,
Alaska Milk Corporation,2019,21.38,1.38,6.46,29.15,19.17,9.98,1,10520,0,Dutch,MFG,MFG,
Alaska Milk Corporation,2020,20.44,0.89,4.34,28.60,19.20,9.39,1,10520,0,Dutch,MFG,MFG,
Alaska Milk Corporation,2021,18.82,0.77,4.09,28.48,18.17,4.92,1,10520,0,Dutch,MFG,MFG,
Albay Power and Energy Corporation,2021,4.21,-0.37,-8.77,3.12,4.74,-1.77,0,35200,0,Filipino,SERV,EWS,
Alfamart Trading Philippines Inc.,2018,7.93,-0.17,-2.08,4.47,3.13,1.34,0,46102,0,Filipino,SERV,TRD,
Alfamart Trading Philippines Inc.,2019,11.78,-0.31,-2.62,9.23,7.81,1.43,0,46102,0,Filipino,SERV,TRD,
Alfamart Trading Philippines Inc.,2020,14.55,-0.37,-2.52,12.46,9.90,2.57,0,46102,0,Filipino,SERV,TRD,
Alfamart Trading Philippines Inc.,2021,16.74,-0.30,-1.80,13.65,11.37,-1.52,0,46105,0,Filipino,SERV,TRD,
Alfa Metro Marketing Inc.,2018,8.83,-0.18,-2.08,1.42,2.06,-0.64,0,47114,0,Filipino,SERV,TRD,
Alfa Metro Marketing Inc.,2019,13.35,-0.05,-0.37,2.96,3.65,-0.69,0,47114,0,Filipino,SERV,TRD,
Alfa Metro Marketing Inc.,2020,16.52,-0.03,-0.21,3.48,4.20,-0.72,0,47114,0,Filipino,SERV,TRD,
Alfa Metro Marketing Inc.,2021,19.10,0.09,0.49,3.28,3.91,-0.67,0,47191,0,Filipino,SERV,TRD,
ALFM Peso Bond Fund Inc.,2018,2.70,0.92,34.16,54.01,0.05,53.96,0,64301,0,Filipino,SERV,FIA,
ALFM Peso Bond Fund Inc.,2019,2.94,1.98,67.57,45.97,0.04,45.93,0,64301,0,Filipino,SERV,FIA,
ALI Commercial Center Inc.,2018,4.80,2.72,56.65,5.42,2.94,2.48,0,68190,0,Filipino,SERV,REO,
All Asian Countertrade Inc.,2018,15.04,0.06,0.42,7.98,5.75,2.23,0,46302,0,Filipino,SERV,TRD,
All Asian Countertrade Inc.,2019,14.21,0.02,0.13,6.56,4.34,2.22,0,46302,0,Filipino,SERV,TRD,
All Asian Countertrade Inc.,2020,11.85,0.00,-0.02,8.47,6.29,2.18,0,46302,0,Filipino,SERV,TRD,
All Asian Countertrade Inc.,2021,10.49,0.11,1.08,8.81,6.44,1.14,0,46303,0,Filipino,SERV,TRD,
AllDay Marts Inc.,2021,9.54,0.39,4.05,8.78,2.41,0.77,0,47114,0,Filipino,SERV,TRD,
Allegro MicroSystems Philippines Inc.,2018,6.02,0.23,3.82,3.41,1.20,2.21,1,26120,1,Japanese,MFG,MFG,
Allegro MicroSystems Philippines Inc.,2020,6.10,0.16,2.57,4.03,1.57,2.46,1,26120,1,Japanese,MFG,MFG,
Allegro MicroSystems Philippines Inc.,2021,6.97,0.30,4.25,4.47,1.64,1.40,1,26200,1,Japanese,MFG,MFG,
Allfirst Equity Holdings Inc.,2018,2.62,2.22,84.48,15.61,9.08,6.53,0,64200,0,Filipino,SERV,FIA,
Allfirst Equity Holdings Inc.,2019,1.89,1.38,72.98,15.12,7.54,7.58,0,64200,0,Filipino,SERV,FIA,
Allfirst Equity Holdings Inc.,2021,3.19,1.96,61.36,18.49,8.30,10.37,0,64304,0,Filipino,SERV,FIA,
Allgemeine Bau-Chemie Phil. Inc.,2018,2.88,0.47,16.31,2.26,0.28,1.99,0,20294,0,Filipino,MFG,MFG,
Allgemeine Bau-Chemie Phil. Inc.,2019,3.25,0.54,16.60,2.78,0.33,2.45,0,20294,0,Filipino,MFG,MFG,
Allgemeine Bau-Chemie Phil. Inc.,2020,2.70,0.48,17.81,2.70,0.26,2.45,0,20294,0,Filipino,MFG,MFG,
Allgemeine Bau-Chemie Phil. Inc.,2021,3.50,0.71,20.42,3.12,0.24,2.82,0,20299,0,Filipino,MFG,MFG,
AllHome Corporation,2018,7.40,0.51,6.90,8.22,5.54,2.68,0,47591,0,Filipino,SERV,TRD,
AllHome Corporation,2019,12.43,1.05,8.45,19.69,7.27,12.42,0,47591,0,Filipino,SERV,TRD,
AllHome Corporation,2020,12.81,0.99,7.71,21.78,8.40,13.37,0,47591,0,Filipino,SERV,TRD,
AllHome Corporation,2021,14.68,1.44,9.84,25.81,11.19,3.67,0,47591,0,Filipino,SERV,TRD,
Alliance Global Group Inc.,2018,3.26,3.14,96.32,71.82,12.67,59.14,0,64200,0,Filipino,SERV,FIA,
Alliance Global Group Inc.,2019,2.72,2.67,97.80,72.15,13.00,59.15,0,64200,0,Filipino,SERV,FIA,
Alliance Global Group Inc.,2020,1.98,1.80,91.25,88.14,28.48,59.66,0,64200,0,Filipino,SERV,FIA,
Alliance Global Group Inc.,2021,5.08,4.80,94.55,89.33,28.22,28.00,0,64304,0,Filipino,SERV,FIA,
Alliance Select Foods International Inc.,2018,3.65,0.16,4.36,3.67,1.99,1.68,0,10201,1,Filipino,MFG,MFG,
Alliance Select Foods International Inc.,2019,3.26,-0.07,-2.21,3.11,1.57,1.55,0,10201,1,Filipino,MFG,MFG,
Alliance Select Foods International Inc.,2020,2.60,-0.41,-15.64,2.13,1.07,1.06,0,10201,1,Filipino,MFG,MFG,
Allianz PNB Life Insurance Inc.,2018,2.79,0.12,4.12,29.62,27.58,2.04,0,65110,0,Filipino,SERV,FIA,
Allianz PNB Life Insurance Inc.,2019,3.76,-0.29,-7.58,37.10,35.31,1.79,0,65110,0,Filipino,SERV,FIA,
Allianz PNB Life Insurance Inc.,2020,3.13,0.19,6.05,52.28,50.53,1.75,1,65110,0,German,SERV,FIA,
Allianz PNB Life Insurance Inc.,2021,3.76,0.11,2.87,79.08,77.04,0.59,1,65120,0,German,SERV,FIA,
Allied Gen Power Corporation,2019,3.15,3.16,100.00,12.47,0.01,12.46,0,64200,0,Filipino,SERV,FIA,
All Nippon Airways Co. Ltd.,2021,2.80,2.24,80.06,2.84,0.55,2.25,1,52109,0,Japanese,SERV,TAS,
Alorica Philippines Inc.,2018,3.01,0.05,1.56,2.38,1.09,1.29,1,82211,1,American,SERV,PRO,
Alorica Philippines Inc.,2019,5.75,0.21,3.68,5.20,2.84,2.37,1,82211,1,American,SERV,PRO,
Alorica Philippines Inc.,2020,6.14,0.34,5.61,5.40,2.83,2.58,1,82211,1,American,SERV,PRO,
Alorica Philippines Inc.,2021,8.71,1.07,12.30,6.33,2.50,3.12,1,82219,1,American,SERV,PRO,
Alorica Teleservices Inc.,2018,12.33,0.71,5.72,7.52,2.17,5.35,1,82211,1,American,SERV,PRO,
Alorica Teleservices Inc.,2019,12.69,0.43,3.41,10.15,4.59,5.55,1,82211,1,American,SERV,PRO,
Alorica Teleservices Inc.,2020,10.96,0.31,2.81,10.24,4.70,5.53,1,82211,1,American,SERV,PRO,
Alorica Teleservices Inc.,2021,14.25,0.81,5.67,10.78,4.09,6.61,1,82219,0,American,SERV,PRO,
Alsons Aquaculture Corporation,2019,2.30,0.01,0.44,1.61,1.27,0.34,0,3219,0,Filipino,AFF,AFF,
Alsons Aquaculture Corporation,2020,2.45,0.02,0.61,1.74,1.38,0.35,0,3219,0,Filipino,AFF,AFF,
Alsons Aquaculture Corporation,2021,2.63,0.02,0.76,1.77,1.40,0.14,0,5100,0,Filipino,MAQ,MAQ,
Alsons Development & Investment Corporation,2019,2.51,0.56,22.20,11.14,4.83,6.31,0,68190,0,Filipino,SERV,REO,
Alsons Development & Investment Corporation,2020,1.63,0.36,22.31,12.01,5.35,6.65,0,68190,0,Filipino,SERV,REO,
Alternatives Food Corporation,2018,3.43,0.06,1.72,2.47,1.93,0.55,0,46303,0,Filipino,SERV,TRD,
Alternatives Food Corporation,2019,4.38,0.05,1.17,1.69,1.09,0.60,0,46303,0,Filipino,SERV,TRD,
Alternatives Food Corporation,2020,3.67,0.05,1.36,1.25,0.60,0.65,0,46303,0,Filipino,SERV,TRD,
Alternatives Food Corporation,2021,3.78,0.08,2.06,1.18,0.46,0.33,0,46306,0,Filipino,SERV,TRD,
Alveo Land Corporation,2018,21.42,5.83,27.19,53.48,27.28,26.20,0,68120,0,Filipino,SERV,REO,
Alveo Land Corporation,2019,19.64,6.13,31.21,63.86,31.72,32.14,0,68120,0,Filipino,SERV,REO,
Alveo Land Corporation,2021,12.10,1.46,12.07,66.88,33.51,30.73,0,68190,0,Filipino,SERV,REO,
Amaia Land Corporation,2018,7.11,0.45,6.31,22.86,13.03,9.83,0,68120,0,Filipino,SERV,REO,
Amaia Land Corporation,2021,4.51,0.39,8.69,25.98,14.81,4.12,0,68190,0,Filipino,SERV,REO,
Amcor Flexibles Philippines Corporation,2020,1.68,0.16,9.52,2.12,1.66,0.46,1,17020,0,Australian,MFG,MFG,
Amcor Specialty Cartons Rizal Corporation,2018,2.97,0.24,8.16,3.61,3.19,0.43,1,82920,0,Australian,SERV,PRO,
Amcor Specialty Cartons Rizal Corporation,2019,4.45,0.26,5.82,4.23,3.57,0.66,1,17020,1,British,MFG,MFG,
Amcor Specialty Cartons Rizal Corporation,2020,3.50,0.26,7.55,3.85,2.97,0.88,1,17020,1,British,MFG,MFG,
Amcor Specialty Cartons Rizal Corporation,2021,2.79,0.23,8.34,3.52,2.42,-0.69,1,17092,1,Australian,MFG,MFG,
Amdocs Philippines Inc.,2018,5.24,-0.38,-7.32,4.63,4.40,0.23,1,62020,0,Swiss,SERV,IAC,
Amdocs Philippines Inc.,2019,8.18,0.21,2.54,5.30,4.88,0.42,1,62020,0,American,SERV,IAC,
Amdocs Philippines Inc.,2020,10.98,0.69,6.24,5.55,4.45,1.10,1,62020,0,American,SERV,IAC,
Amdocs Philippines Inc.,2021,8.14,0.32,3.88,5.11,3.69,0.25,1,62090,0,American,SERV,IAC,
A. Menarini Philippines Inc.,2018,3.03,-0.03,-0.86,2.14,1.49,0.65,1,46421,0,Italian,SERV,TRD,
A. Menarini Philippines Inc.,2019,3.39,-0.01,-0.41,2.26,1.64,0.62,1,46421,0,Italian,SERV,TRD,
A. Menarini Philippines Inc.,2020,2.99,0.03,1.04,1.97,1.36,0.62,1,46421,0,Italian,SERV,TRD,
A. Menarini Philippines Inc.,2021,3.14,0.05,1.62,2.11,1.44,-2.04,1,46425,0,Italian,SERV,TRD,
American Power Conversion Corp. (A.P.C.) B.V.,2018,48.72,5.50,11.28,18.79,7.69,11.10,1,27902,1,French,MFG,MFG,
American Power Conversion Corp. (A.P.C.) B.V.,2019,40.59,5.15,12.68,23.49,7.75,15.74,1,27902,1,French,MFG,MFG,
American Power Conversion Corp. (A.P.C.) B.V.,2020,37.12,4.35,11.72,21.76,5.95,15.81,1,27902,1,French,MFG,MFG,
American Power Conversion Corp. (A.P.C.) B.V.,2021,40.58,4.35,10.73,23.61,7.52,16.14,1,27909,1,French,MFG,MFG,
American Wire & Cable Co. Inc.,2018,3.56,0.35,9.92,4.06,0.26,3.81,0,27320,0,Filipino,MFG,MFG,
American Wire & Cable Co. Inc.,2019,3.18,0.39,12.35,4.46,0.51,3.95,0,27320,0,Filipino,MFG,MFG,
American Wire & Cable Co. Inc.,2020,2.23,0.32,14.24,4.49,0.59,3.90,0,27320,0,Filipino,MFG,MFG,
American Wire & Cable Co. Inc.,2021,3.76,0.54,14.27,4.79,0.59,2.16,0,27509,0,Filipino,MFG,MFG,
Amertron Inc.,2018,5.76,0.38,6.67,4.35,0.64,3.71,1,26120,1,Malaysian,MFG,MFG,
Amertron Inc.,2019,3.84,0.20,5.16,4.23,0.46,3.77,1,26120,1,Malaysian,MFG,MFG,
Amertron Inc.,2020,3.40,0.20,5.99,4.39,0.63,3.76,1,26120,1,Malaysian,MFG,MFG,
Amertron Inc.,2021,4.57,0.45,9.79,5.16,0.73,3.83,1,26200,1,Malaysian,MFG,MFG,
Amkor Technology Philippines Inc.,2018,33.72,2.38,7.07,22.98,5.51,17.47,1,26120,1,American,MFG,MFG,
Amkor Technology Philippines Inc.,2019,24.50,0.31,1.26,22.72,7.65,15.07,1,26120,1,American,MFG,MFG,
Amkor Technology Philippines Inc.,2020,23.68,0.85,3.60,19.27,7.30,11.98,1,26120,1,American,MFG,MFG,
Amkor Technology Philippines Inc.,2021,27.56,0.87,3.15,20.47,8.18,5.46,1,26200,1,American,MFG,MFG,
Ampleon Philippines Inc.,2018,8.36,0.15,1.80,6.88,1.42,5.46,1,26120,1,Chinese,MFG,MFG,
Ampleon Philippines Inc.,2019,8.92,0.06,0.62,9.70,4.43,5.27,1,26120,1,Chinese,MFG,MFG,
Ampleon Philippines Inc.,2020,7.94,0.11,1.40,8.41,1.55,6.85,1,26120,1,Chinese,MFG,MFG,
Ampleon Philippines Inc.,2021,7.72,0.31,3.95,9.68,2.17,0.70,1,26200,1,Chinese,MFG,MFG,
Analog Devices Gen. Trias Inc.,2018,14.10,1.78,12.63,14.74,10.54,4.20,1,26120,0,American,MFG,MFG,
Analog Devices Gen. Trias Inc.,2019,14.31,1.92,13.41,13.66,9.74,3.92,1,26120,0,American,MFG,MFG,
Analog Devices Gen. Trias Inc.,2020,14.60,1.92,13.15,13.65,10.79,2.87,1,71200,0,American,SERV,PRO,
Analog Devices Gen. Trias Inc.,2021,17.95,1.92,10.69,22.22,11.96,3.73,1,78101,0,American,SERV,PRO,
Andok's Litson Corporation,2021,2.26,-0.01,-0.44,0.28,0.08,0.17,0,56290,0,Filipino,SERV,AFS,
Angeles Electric Corporation,2018,5.07,0.32,6.35,3.02,1.34,1.67,0,35100,0,Filipino,SERV,EWS,
Angeles Electric Corporation,2020,4.71,0.30,6.30,4.07,2.05,2.02,0,35100,0,Filipino,SERV,EWS,
Angeles Electric Corporation,2021,5.64,0.25,4.38,4.26,2.10,1.23,0,35200,0,Filipino,SERV,EWS,
Anson Emporium Corporation,2018,3.30,0.04,1.33,1.01,0.85,0.17,0,47593,0,Filipino,SERV,TRD,
Anson Emporium Corporation,2020,3.34,0.05,1.38,1.13,0.86,0.27,0,47591,0,Filipino,SERV,TRD,
